TEAM1,比分,TEAM2,地图,比赛日期,DEMO链接
"hw邱邱畅","0:0","来杯好茶摇一摇","炙热沙城Ⅱ","",""
"hw邱邱畅","0:0","本质好人","炼狱小镇","",""
"五个外包","13:6","HW Major TEAM 1","炙热沙城Ⅱ","2026-07-14","https://pvp-demo-sh-1301671788.wmpvp.com/demo/match/3861809296_1000003238.dem?sign=q-sign-algorithm%3Dsha1%26q-ak%3DAKIDkIabMq3zf3A0YppYzA4g16uTmoZ3GCrF%26q-sign-time%3D1786106311%3B1786192771%26q-key-time%3D1786106311%3B1786192771%26q-header-list%3Dhost%26q-url-param-list%3Dresponse-content-disposition%26q-signature%3D560ee9512138889522d36be51f8beeb70b489554&amp;response-content-disposition=attachment%3Bfilename%3D3861809296_1000003238.dem.zip"
"打赢我们是给","13:10","打不过我的是GAY","远古遗迹","2026-07-15","https://pvp-demo-sz.oss-cn-shenzhen.aliyuncs.com/demo/match/3865313552_1000003238.dem?Expires=1786192504&amp;OSSAccessKeyId=LTAI4FdozZjF98JnnYvJRUeQ&amp;response-content-disposition=attachment%3Bfilename%3D3865313552_1000003238.dem.zip&amp;Signature=lo1iE5H4KNbSQhU1%2F7Ydx5Wwvd8%3D"
"泥头车3.0","12:16","蹬峰造极2.0","远古遗迹","2026-07-15","https://pvp-demo-hz.oss-cn-hangzhou.aliyuncs.com/demo/match/3865301776_1000003238.dem?Expires=1786192771&amp;OSSAccessKeyId=LTAI4FdozZjF98JnnYvJRUeQ&amp;response-content-disposition=attachment%3Bfilename%3D3865301776_1000003238.dem.zip&amp;Signature=lObocpUpkQ8Eg%2Fw9krmwfP9Ij%2FI%3D"
"本质好人","13:3","战队ffd04b","远古遗迹","2026-07-15","https://pvp-demo-sh-1301671788.wmpvp.com/demo/match/3865451408_1000003238.dem?sign=q-sign-algorithm%3Dsha1%26q-ak%3DAKIDkIabMq3zf3A0YppYzA4g16uTmoZ3GCrF%26q-sign-time%3D1786106311%3B1786192771%26q-key-time%3D1786106311%3B1786192771%26q-header-list%3Dhost%26q-url-param-list%3Dresponse-content-disposition%26q-signature%3D19687e1900fac4b26a451800bd5386f160ba2a59&amp;response-content-disposition=attachment%3Bfilename%3D3865451408_1000003238.dem.zip"
"Team Ten","1:13","hw邱邱畅","荒漠迷城","2026-07-17","https://pvp-demo-sh-1301671788.wmpvp.com/demo/match/3872198672_1000003238.dem?sign=q-sign-algorithm%3Dsha1%26q-ak%3DAKIDkIabMq3zf3A0YppYzA4g16uTmoZ3GCrF%26q-sign-time%3D1786106044%3B1786192504%26q-key-time%3D1786106044%3B1786192504%26q-header-list%3Dhost%26q-url-param-list%3Dresponse-content-disposition%26q-signature%3Db788c2132889d6a5e05ef7bc38e5695993ba1706&amp;response-content-disposition=attachment%3Bfilename%3D3872198672_1000003238.dem.zip"
"Team Ten","6:13","打赢我的是向日葵","炙热沙城Ⅱ","2026-07-17","https://pvp-demo-hz.oss-cn-hangzhou.aliyuncs.com/demo/match/3872336016_1000003238.dem?Expires=1786192504&amp;OSSAccessKeyId=LTAI4FdozZjF98JnnYvJRUeQ&amp;response-content-disposition=attachment%3Bfilename%3D3872336016_1000003238.dem.zip&amp;Signature=Jpd%2FSugfSvABBAiHJPhuZIyz%2F%2BM%3D"
"hw邱邱畅","13:4","战队ffd04b","阿努比斯","2026-07-17","https://pvp-demo-sh-1301671788.wmpvp.com/demo/match/3872336528_1000003238.dem?sign=q-sign-algorithm%3Dsha1%26q-ak%3DAKIDkIabMq3zf3A0YppYzA4g16uTmoZ3GCrF%26q-sign-time%3D1786106044%3B1786192504%26q-key-time%3D1786106044%3B1786192504%26q-header-list%3Dhost%26q-url-param-list%3Dresponse-content-disposition%26q-signature%3Dcf7829aad8baec390dad6656dcc73ac68705ec9a&amp;response-content-disposition=attachment%3Bfilename%3D3872336528_1000003238.dem.zip"
"那个男人在这","13:9","STORMGAME","炼狱小镇","2026-07-17","https://pvp-demo-sh-1301671788.wmpvp.com/demo/match/3872335504_1000003238.dem?sign=q-sign-algorithm%3Dsha1%26q-ak%3DAKIDkIabMq3zf3A0YppYzA4g16uTmoZ3GCrF%26q-sign-time%3D1786106311%3B1786192771%26q-key-time%3D1786106311%3B1786192771%26q-header-list%3Dhost%26q-url-param-list%3Dresponse-content-disposition%26q-signature%3D6bce3db88fe790d21f8c29803ff2933d5d277c57&amp;response-content-disposition=attachment%3Bfilename%3D3872335504_1000003238.dem.zip"
"六辣子夹馍","13:11","外包杀手","炙热沙城Ⅱ","2026-07-18","https://pvp-demo-sh-1301671788.wmpvp.com/demo/match/3875531792_1000003238.dem?sign=q-sign-algorithm%3Dsha1%26q-ak%3DAKIDkIabMq3zf3A0YppYzA4g16uTmoZ3GCrF%26q-sign-time%3D1786106311%3B1786192771%26q-key-time%3D1786106311%3B1786192771%26q-header-list%3Dhost%26q-url-param-list%3Dresponse-content-disposition%26q-signature%3D618b1e73e969354d9b805f0886cf6a00feca23af&amp;response-content-disposition=attachment%3Bfilename%3D3875531792_1000003238.dem.zip"
